resolution,mode,ssim_mean_mean,ssim_mean_std,ssim_mean_min,ssim_mean_max,ssim_mean_count,psnr_mean_mean,psnr_mean_std,psnr_mean_min,psnr_mean_max,lpips_mean_mean,lpips_mean_std,lpips_mean_min,lpips_mean_max,flip_mean_mean,flip_mean_std,flip_mean_min,flip_mean_max
1080p,Balanced,0.7712,0.1307,0.4737,0.9083,10,23.1821,3.2867,16.9093,26.3926,0.2296,0.1067,0.0994,0.4887,7.2711,4.4398,4.1098,17.6394
1080p,Performance,0.7799,0.1252,0.4953,0.9132,10,23.3681,3.7887,17.713,29.3878,0.2183,0.1004,0.1239,0.4509,7.0168,4.0951,2.6933,16.371
1080p,Quality,0.7582,0.1182,0.4767,0.8729,10,22.625,2.9758,17.0531,27.37,0.2411,0.1034,0.1159,0.473,7.5842,3.9958,3.1485,16.9512
1080p,Ultra_Performance,0.7723,0.1231,0.4959,0.9169,10,23.1322,3.597,17.2115,29.3431,0.2426,0.0968,0.1348,0.4808,7.3372,4.1404,3.2306,16.4975
1440p,Balanced,0.7163,0.1201,0.4799,0.861,10,20.4945,4.113,13.4094,27.1279,0.3092,0.1463,0.1702,0.6149,10.4939,6.5786,3.3104,24.6283
1440p,Performance,0.765,0.113,0.5513,0.8851,10,22.3794,3.3586,16.4882,27.1918,0.2361,0.0875,0.133,0.3827,7.6267,3.7855,3.2261,14.1053
1440p,Quality,0.7439,0.1408,0.4977,0.8949,10,21.6126,4.5452,12.9704,28.7048,0.2771,0.1676,0.1134,0.6563,9.4984,7.2482,2.6456,26.2137
1440p,Ultra_Performance,0.7426,0.1304,0.5065,0.9146,10,21.4525,4.9408,13.3946,30.0578,0.2996,0.1516,0.1545,0.6144,9.7933,6.9916,2.3458,24.7492
4K,Balanced,0.7173,0.1518,0.3709,0.849,8,20.4571,3.7758,13.1702,24.8417,0.3252,0.1512,0.1948,0.668,10.1566,7.0855,4.3111,26.0236
4K,Performance,0.6905,0.1371,0.4371,0.8384,8,19.3052,3.974,12.8007,24.0512,0.3723,0.1613,0.237,0.6588,12.3166,8.3624,5.076,27.7597
4K,Quality,0.7154,0.1323,0.4471,0.8501,8,20.1996,4.0747,13.7286,24.8693,0.3277,0.162,0.1973,0.5876,10.8119,7.3392,4.2411,23.2082
4K,Ultra_Performance,0.7194,0.1074,0.5,0.8583,8,19.9659,3.1493,15.9566,25.3074,0.3452,0.0904,0.2335,0.529,10.3234,4.7122,3.9873,18.5298
