comparison,resolution,mode,ssim,psnr,lpips,flip
1080p_DLAA_vs_Quality,1080p,Quality,0.6652310871354797,18.815969950137326,0.2947201386936392,11.24201645187157
1440p_DLAA_vs_Ultra_Performance,1440p,Ultra_Performance,0.7765599007800441,21.50932637244768,0.18222739150480585,6.8812643583206565
1080p_DLAA_vs_Balanced,1080p,Balanced,0.6568956207484007,18.517320204632526,0.3145249861751354,11.73812282299075
1440p_DLAA_vs_Balanced,1440p,Balanced,0.6798448934055427,18.62201388519967,0.31474450168282014,11.229240349000868
1440p_DLAA_vs_Quality,1440p,Quality,0.8619126811185304,23.77290576002562,0.11337157812222894,4.964903186732793
4K_DLAA_vs_Performance,4K,Performance,0.7113209340639193,18.751804336737806,0.32710924952784004,10.905471327933757
1080p_DLAA_vs_Performance,1080p,Performance,0.7850305263829582,22.310241762123272,0.1412362199078095,6.374434416182339
4K_DLAA_vs_Balanced,4K,Balanced,0.7068032178589526,18.58400923053032,0.3377736673676683,11.281685617094968
1440p_DLAA_vs_Performance,1440p,Performance,0.6873252972659162,18.840030942157227,0.2996907581058194,10.864303119371042
4K_DLAA_vs_Quality,4K,Quality,0.7096354390001473,18.784522043008618,0.3234688673264292,10.886803975054885
4K_DLAA_vs_Ultra_Performance,4K,Ultra_Performance,0.698487381779534,18.071731098796263,0.37866770742830874,12.365044957300757
1080p_DLAA_vs_Ultra_Performance,1080p,Ultra_Performance,0.6874067728125721,19.2450188686071,0.2781725342035157,10.461167644032644
